config_file,key,file1,file2
dispatcher.xml, beans_bean_property,{'@name': 'interceptors'| 'list': None},{'@name': 'interceptors'| 'list': None}
dispatcher.xml, beans_bean_@class,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter
dispatcher.xml, beans_bean_@id,ldapHelperBean,ldapHelperBean
dispatcher.xml, beans_bean_@class,org.kp.esb.ldap.LdapHelperV2,org.kp.esb.ldap.LdapHelperV2
dispatcher.xml, beans_bean_constructor-arg,{'@index': '0'| '@value': '${ladp.url}'},{'@index': '0'| '@value': '${ladp.url}'}
dispatcher.xml, beans_bean_@id,userValidator,userValidator
dispatcher.xml, beans_bean_@class,org.kp.oppr.rxnotifier.validators.UserValidator,org.kp.oppr.rxnotifier.validators.UserValidator
dispatcher.xml, beans_bean_property,[{'@name': 'initialContextFactory'| '@value': '${INITIAL_CONTEXT_FACTORY}'}| {'@name': 'securityAuthentication'| '@value': '${SECURITY_AUTHENTICATION}'}| {'@name': 'ldapURL'| '@value': '${ladp.url}'}| {'@name': 'ldapUserDN'| '@value': '${ldap.user.dn}'}| {'@name': 'ldapPassword'| '@value': '${ladp.user.password}'}| {'@name': 'appUserBaseDn'| '@value': '${ldap.app.user.base.dn}'}| {'@name': 'appUserFilterPrefix'| '@value': '${ldap.app.user.filter.prefix}'}| {'@name': 'corpUserBaseDn'| '@value': '${ldap.corp.user.base.dn}'}| {'@name': 'corpUserFilterPrefix'| '@value': '${ldap.corp.user.filter.prefix}'}| {'@name': 'sg1AdminGroup'| '@value': '${ldap.group.admin}'}| {'@name': 'sg1SupportGroup'| '@value': '${ldap.group.support}'}| {'@name': 'ldapHelper'| '@ref': 'ldapHelperBean'}],[{'@name': 'initialContextFactory'| '@value': '${INITIAL_CONTEXT_FACTORY}'}| {'@name': 'securityAuthentication'| '@value': '${SECURITY_AUTHENTICATION}'}| {'@name': 'ldapURL'| '@value': '${ladp.url}'}| {'@name': 'ldapUserDN'| '@value': '${ldap.user.dn}'}| {'@name': 'ldapPassword'| '@value': '${ladp.user.password}'}| {'@name': 'appUserBaseDn'| '@value': '${ldap.app.user.base.dn}'}| {'@name': 'appUserFilterPrefix'| '@value': '${ldap.app.user.filter.prefix}'}| {'@name': 'corpUserBaseDn'| '@value': '${ldap.corp.user.base.dn}'}| {'@name': 'corpUserFilterPrefix'| '@value': '${ldap.corp.user.filter.prefix}'}| {'@name': 'sg1AdminGroup'| '@value': '${ldap.group.admin}'}| {'@name': 'sg1SupportGroup'| '@value': '${ldap.group.support}'}| {'@name': 'ldapHelper'| '@ref': 'ldapHelperBean'}]
dispatcher.xml, beans_bean_@id,viewResolver,viewResolver
dispatcher.xml, beans_bean_@class,org.springframework.web.servlet.view.InternalResourceViewResolver,org.springframework.web.servlet.view.InternalResourceViewResolver
dispatcher.xml, beans_bean_property,[{'@name': 'prefix'| '@value': '/WEB-INF/views/'}| {'@name': 'suffix'| '@value': '.jsp'}],[{'@name': 'prefix'| '@value': '/WEB-INF/views/'}| {'@name': 'suffix'| '@value': '.jsp'}]
